"Program","Year","Period","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Fruit","Category","Item","Metric","Area Grown","Fertilize","Organic","Type","Ingredient","Code","Domain Category","Value","CV (%)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","BLACK BELT",40,"BULLOCK","011","STRAWBERRIES ",NA,"Total ACRES BEARING",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","(D)","(D)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","BLACK BELT",40,"BULLOCK","011","STRAWBERRIES ",NA,"Total ACRES GROWN",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","3","15.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","BLACK BELT",40,"BULLOCK","011","STRAWBERRIES ",NA,"Total ACRES NON-BEARING",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","(D)","(D)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","BLACK BELT",40,"BULLOCK","011","STRAWBERRIES ",NA,"Total OPERATIONS WITH AREA BEARING",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","1","(L)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","BLACK BELT",40,"BULLOCK","011","STRAWBERRIES ",NA,"Total OPERATIONS WITH AREA GROWN",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","6","52.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","BLACK BELT",40,"BULLOCK","011","STRAWBERRIES ",NA,"Total OPERATIONS WITH AREA NON-BEARING",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","5","47.6"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","BLACK BELT",40,"MONTGOMERY","101","STRAWBERRIES ",NA,"Total ACRES BEARING",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","(D)","(D)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","BLACK BELT",40,"MONTGOMERY","101","STRAWBERRIES ",NA,"Total ACRES GROWN",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","(D)","(D)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","BLACK BELT",40,"MONTGOMERY","101","STRAWBERRIES ",NA,"Total OPERATIONS WITH AREA BEARING",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","2","55.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","BLACK BELT",40,"MONTGOMERY","101","STRAWBERRIES ",NA,"Total OPERATIONS WITH AREA GROWN",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","2","52.7"
